result_id;user_id;user_level;word_id;word_level;frequency;timestamp;is_correct;time_spent;attempt_number;days_since_last_seen;level_gap;is_hard_word;is_slow_response;is_rare_word;forgetting_risk;user_performance_score
R01390;U001;B2;W0976;B2;high;2024-01-02;True;3.72;1;0;0;0;0;0;0;1.0
R01035;U001;B2;W1655;A2;high;2024-01-03;True;4.7;1;0;-2;0;0;0;0;1.0
R03109;U001;B2;W1655;A2;high;2024-01-04;True;5.27;2;1;-2;0;0;0;0;1.0
R06587;U001;B2;W0382;C2;low;2024-01-05;False;5.69;1;0;2;1;0;1;0;0.75
R07302;U001;B2;W1575;C1;low;2024-01-07;True;6.02;1;0;1;1;0;1;0;0.8
R08637;U001;B2;W1655;A2;high;2024-01-09;True;4.43;3;5;-2;0;0;0;0;0.8333333333333334
R03477;U001;B2;W1838;C1;high;2024-01-16;False;10.43;1;0;1;1;0;0;0;0.7142857142857143
R08353;U001;B2;W1078;C1;high;2024-01-16;False;10.85;1;0;1;1;0;0;0;0.625
R05459;U001;B2;W1838;C1;high;2024-01-18;True;9.13;2;2;1;1;0;0;0;0.6666666666666666
R05188;U001;B2;W0709;A1;high;2024-01-21;True;7.78;1;0;-3;0;0;0;0;0.7
R05721;U001;B2;W0299;B2;high;2024-01-22;False;9.33;1;0;0;0;0;0;0;0.6
R08623;U001;B2;W0709;A1;high;2024-01-22;True;4.64;2;1;-3;0;0;0;0;0.6
R02774;U001;B2;W0138;A2;high;2024-01-23;True;5.03;1;0;-2;0;0;0;0;0.6
R06051;U001;B2;W0299;B2;high;2024-01-24;True;4.58;2;2;0;0;0;0;0;0.7
R09081;U001;B2;W0478;B1;low;2024-01-24;True;5.07;1;0;-1;0;0;1;0;0.7
R09340;U001;B2;W1849;A2;high;2024-01-25;True;6.63;1;0;-2;0;0;0;0;0.7
R03314;U001;B2;W0252;A2;medium;2024-01-27;True;3.91;1;0;-2;0;0;0;0;0.8
R06926;U001;B2;W1202;C1;low;2024-01-31;True;4.84;1;0;1;1;0;1;0;0.9
R05740;U001;B2;W0615;A2;low;2024-02-03;True;8.65;1;0;-2;0;0;1;0;0.9
R07362;U001;B2;W0569;C2;medium;2024-02-03;False;13.94;1;0;2;1;1;0;0;0.8
R07637;U001;B2;W0569;C2;medium;2024-02-04;True;11.44;2;1;2;1;0;0;0;0.9
R06252;U001;B2;W0615;A2;low;2024-02-06;False;7.89;2;3;-2;0;0;1;0;0.8
R07786;U001;B2;W1315;B1;high;2024-02-10;True;7.59;1;0;-1;0;0;0;0;0.8
R00005;U001;B2;W1560;B2;high;2024-02-13;True;4.04;1;0;0;0;0;0;0;0.8
R01040;U001;B2;W0634;B2;medium;2024-02-13;False;9.12;1;0;0;0;0;0;0;0.7
R08597;U001;B2;W1320;B1;high;2024-02-13;True;5.83;1;0;-1;0;0;0;0;0.7
R01136;U001;B2;W0634;B2;medium;2024-02-14;False;8.82;2;1;0;0;0;0;0;0.6
R09413;U001;B2;W1483;B1;low;2024-02-14;True;1.0;1;0;-1;0;0;1;0;0.6
R00719;U001;B2;W1560;B2;high;2024-02-15;True;6.1;2;2;0;0;0;0;0;0.6
R02588;U001;B2;W1560;B2;high;2024-02-20;False;9.28;3;5;0;0;0;0;0;0.6
R06890;U001;B2;W1271;C1;low;2024-02-20;False;11.61;1;0;1;1;0;1;0;0.5
R06074;U001;B2;W0187;C1;low;2024-02-23;True;8.47;1;0;1;1;0;1;0;0.6
R03294;U001;B2;W1021;C1;high;2024-02-24;True;3.57;1;0;1;1;0;0;0;0.6
R06087;U001;B2;W1684;B1;high;2024-02-25;True;4.64;1;0;-1;0;0;0;0;0.6
R02019;U001;B2;W0722;C1;high;2024-02-26;True;7.33;1;0;1;1;0;0;0;0.7
R05341;U001;B2;W1628;C2;medium;2024-02-26;True;7.4;1;0;2;1;0;0;0;0.7
R07475;U001;B2;W0187;C1;low;2024-02-26;True;5.75;2;3;1;1;0;1;0;0.8
R07063;U001;B2;W1021;C1;high;2024-02-27;True;7.38;2;3;1;1;0;0;0;0.8
R02305;U001;B2;W0722;C1;high;2024-02-28;False;8.15;2;2;1;1;0;0;0;0.7
R07530;U001;B2;W1684;B1;high;2024-02-28;True;9.0;2;3;-1;0;0;0;0;0.8
R02809;U001;B2;W1213;C2;high;2024-02-29;True;5.73;1;0;2;1;0;0;0;0.9
R07903;U001;B2;W1098;B2;medium;2024-02-29;True;5.78;1;0;0;0;0;0;0;0.9
R03599;U001;B2;W1560;B2;high;2024-03-01;True;2.95;4;10;0;0;0;0;1;0.9
R03731;U001;B2;W1213;C2;high;2024-03-01;True;10.6;2;1;2;1;0;0;0;0.9
R08757;U001;B2;W1021;C1;high;2024-03-03;False;11.17;3;5;1;1;0;0;0;0.8
R03595;U001;B2;W0722;C1;high;2024-03-04;False;9.53;3;5;1;1;0;0;0;0.7
R05840;U001;B2;W1167;C2;medium;2024-03-04;True;6.74;1;0;2;1;0;0;0;0.7
R08678;U001;B2;W0187;C1;low;2024-03-04;True;8.78;3;7;1;1;0;1;0;0.7
R08456;U001;B2;W1213;C2;high;2024-03-07;False;12.22;3;6;2;1;1;0;0;0.7
R07036;U001;B2;W1741;C1;high;2024-03-09;False;12.44;1;0;1;1;1;0;0;0.6
R03011;U001;B2;W0825;C1;high;2024-03-11;True;7.72;1;0;1;1;0;0;0;0.6
R01784;U001;B2;W1197;C2;low;2024-03-15;False;8.07;1;0;2;1;0;1;0;0.5
R04179;U001;B2;W0573;C1;high;2024-03-18;False;11.51;1;0;1;1;0;0;0;0.4
R04668;U001;B2;W1201;B1;high;2024-03-19;False;9.22;1;0;-1;0;0;0;0;0.3
R09787;U001;B2;W0573;C1;high;2024-03-19;True;7.3;2;1;1;1;0;0;0;0.4
R00098;U001;B2;W1659;A2;low;2024-03-22;True;6.67;1;0;-2;0;0;1;0;0.5
R07062;U001;B2;W1493;C2;low;2024-03-22;False;11.79;1;0;2;1;0;1;0;0.4
R00855;U001;B2;W1659;A2;low;2024-03-23;False;9.22;2;1;-2;0;0;1;0;0.3
R02500;U001;B2;W0864;A2;high;2024-03-23;True;3.79;1;0;-2;0;0;0;0;0.4
