word;level;frequency;priority_score;type
word_634;B2;medium;10.0;review
word_1078;C1;high;9.97;review
word_1838;C1;high;9.78;review
word_722;C1;high;9.62;review
word_299;B2;high;9.23;review
word_382;C2;low;8.24;review
word_569;C2;medium;6.81;review
word_1021;C1;high;5.58;review
word_1197;C2;low;5.41;review
word_615;A2;low;5.27;review
word_1213;C2;high;5.22;review
word_1741;C1;high;5.03;review
word_1493;C2;low;4.92;review
word_1201;B1;high;4.09;review
word_1271;C1;low;3.96;review
word_22;B2;high;0.0;new
word_1998;B1;high;0.0;new
word_6;B2;high;0.0;new
word_1961;B1;high;0.0;new
word_1968;B1;high;0.0;new
