correct_count;total_attempts;accuracy;last_seen;wrong_count;days_since_last_seen;word_id;word;level;frequency;priority_score
0;3;0.0;2024-02-11;3;800;W0048;word_48;C2;high;7.2
0;1;0.0;2024-01-12;1;830;W1187;word_1187;A1;high;6.66
1;2;0.5;2024-01-17;1;825;W0800;word_800;A1;high;6.41
0;3;0.0;2024-02-28;3;783;W0406;word_406;C1;high;6.37
0;2;0.0;2024-02-12;2;799;W1949;word_1949;C2;high;6.15
0;2;0.0;2024-02-02;2;809;W0639;word_639;C1;medium;6.13
1;2;0.5;2024-01-23;1;819;W1200;word_1200;C1;high;6.12
1;2;0.5;2024-01-24;1;818;W1154;word_1154;C1;high;6.07
0;1;0.0;2024-01-05;1;837;W1635;word_1635;C1;low;6.0
1;3;0.3333333333333333;2024-02-06;2;805;W1633;word_1633;A1;medium;5.94
0;1;0.0;2024-02-02;1;809;W0716;word_716;B2;high;5.63
0;3;0.0;2024-03-04;3;778;W1565;word_1565;C2;medium;5.62
0;1;0.0;2024-02-10;1;801;W0764;word_764;B2;high;5.24
1;4;0.25;2024-03-27;3;755;W0904;word_904;B2;high;5.0
1;2;0.5;2024-02-07;1;804;W1743;word_1743;C1;medium;4.89
0;1;0.0;2024-02-18;1;793;W1513;word_1513;C2;high;4.85
