result_id;user_id;word_id;timestamp;is_correct;time_spent;attempt_number;days_since_last_seen
R00001;U084;W1940;2024-01-10;False;8.49;1;0
R00002;U076;W1396;2024-02-07;True;3.89;1;0
R00003;U008;W0408;2024-01-15;True;15.69;1;0
R00004;U055;W1972;2024-02-15;False;7.63;1;0
R00005;U001;W1560;2024-02-13;True;4.04;1;0
R00006;U020;W1216;2024-04-12;True;6.19;1;0
R00007;U074;W1386;2024-04-02;True;12.47;1;0
R00008;U037;W0486;2024-03-27;True;6.3;1;0
R00009;U064;W1031;2024-04-20;False;9.28;1;0
R00010;U077;W1803;2024-02-10;True;6.99;1;0
R00011;U061;W1350;2024-04-02;True;4.13;1;0
R00012;U092;W0772;2024-01-13;False;17.04;1;0
R00013;U062;W1556;2024-01-20;False;11.11;1;0
R00014;U070;W0620;2024-04-19;False;10.45;1;0
R00015;U041;W1886;2024-02-05;True;3.0;1;0
R00016;U089;W1767;2024-01-31;True;4.66;1;0
R00017;U086;W0709;2024-03-04;True;3.05;1;0
R00018;U016;W0300;2024-01-14;True;4.35;1;0
R00019;U080;W0128;2024-04-11;False;11.83;1;0
R00020;U084;W1940;2024-01-12;True;5.52;2;2
R00021;U044;W0588;2024-03-12;True;5.91;1;0
R00022;U059;W1483;2024-02-27;True;5.86;1;0
R00023;U052;W1204;2024-04-16;False;13.6;1;0
R00024;U075;W0327;2024-04-24;True;7.73;1;0
R00025;U046;W0194;2024-01-14;True;8.11;1;0
R00026;U075;W1733;2024-01-28;False;15.97;1;0
R00027;U025;W0952;2024-04-28;True;5.51;1;0
R00028;U030;W1564;2024-02-28;True;4.99;1;0
R00029;U082;W0044;2024-04-29;True;7.9;1;0
R00030;U088;W1129;2024-04-26;True;9.75;1;0
R00031;U003;W0991;2024-02-19;False;4.95;1;0
R00032;U014;W0306;2024-03-18;False;13.5;1;0
R00033;U100;W1219;2024-02-22;False;19.86;1;0
R00034;U033;W0074;2024-02-10;False;12.23;1;0
R00035;U026;W0309;2024-02-07;False;8.5;1;0
R00036;U040;W0016;2024-01-23;False;10.57;1;0
R00037;U091;W1913;2024-03-02;False;13.49;1;0
R00038;U047;W0166;2024-03-09;True;5.06;1;0
R00039;U048;W1419;2024-03-26;True;2.2;1;0
R00040;U032;W1586;2024-03-28;True;7.82;1;0
R00041;U051;W0131;2024-04-06;True;4.34;1;0
R00042;U058;W1780;2024-03-27;True;5.21;1;0
R00043;U013;W1998;2024-04-12;False;11.19;1;0
R00044;U027;W0054;2024-04-10;False;10.07;1;0
R00045;U053;W1440;2024-03-20;False;9.39;1;0
R00046;U064;W0225;2024-03-31;True;6.45;1;0
R00047;U095;W0791;2024-04-09;False;8.27;1;0
R00048;U099;W0362;2024-02-05;False;9.68;1;0
R00049;U029;W0537;2024-03-31;False;15.86;1;0
R00050;U053;W1685;2024-03-21;True;5.82;1;0
R00051;U069;W1723;2024-02-15;True;10.13;1;0
R00052;U022;W0219;2024-03-07;True;9.02;1;0
R00053;U076;W0140;2024-01-12;True;7.93;1;0
R00054;U043;W1020;2024-02-07;True;6.38;1;0
R00055;U074;W0780;2024-04-15;False;15.43;1;0
R00056;U048;W1419;2024-03-27;True;6.86;2;1
R00057;U020;W1403;2024-02-06;True;5.19;1;0
R00058;U030;W0106;2024-03-06;True;3.37;1;0
R00059;U094;W1117;2024-01-22;False;9.55;1;0
R00060;U011;W1696;2024-03-21;False;9.38;1;0
R00061;U017;W0366;2024-03-30;False;12.31;1;0
R00062;U013;W1998;2024-04-13;False;13.71;2;1
R00063;U022;W1426;2024-01-30;False;8.01;1;0
R00064;U065;W1836;2024-02-19;True;5.25;1;0
R00065;U074;W1006;2024-04-06;False;14.53;1;0
R00066;U006;W1996;2024-02-07;False;11.64;1;0
R00067;U009;W0264;2024-03-01;True;2.15;1;0
R00068;U004;W1606;2024-04-18;False;11.04;1;0
R00069;U077;W1630;2024-04-11;False;10.07;1;0
R00070;U084;W1940;2024-01-19;False;6.37;3;7
R00071;U078;W1314;2024-01-28;False;12.98;1;0
R00072;U081;W1213;2024-04-16;False;14.36;1;0
R00073;U003;W0991;2024-02-22;True;4.42;2;3
R00074;U020;W1403;2024-02-08;True;5.58;2;2
R00075;U075;W0327;2024-04-25;False;14.78;2;1
R00076;U035;W1300;2024-03-13;True;3.76;1;0
R00077;U049;W1080;2024-04-01;True;3.97;1;0
R00078;U033;W0074;2024-02-12;True;6.48;2;2
R00079;U050;W1154;2024-01-23;False;11.99;1;0
R00080;U030;W1903;2024-01-26;True;5.02;1;0
R00081;U021;W0975;2024-02-21;False;6.03;1;0
R00082;U036;W1880;2024-03-10;False;14.88;1;0
R00083;U075;W0226;2024-04-03;False;9.4;1;0
R00084;U066;W0099;2024-01-02;False;13.59;1;0
R00085;U079;W1539;2024-03-06;True;2.98;1;0
R00086;U021;W1245;2024-04-21;False;9.14;1;0
R00087;U100;W1219;2024-02-23;True;14.65;2;1
R00088;U086;W0709;2024-03-06;True;4.88;2;2
R00089;U015;W0500;2024-02-11;True;2.74;1;0
R00090;U016;W1489;2024-03-13;True;11.62;1;0
R00091;U063;W1973;2024-04-16;True;13.8;1;0
R00092;U017;W1412;2024-02-14;False;14.98;1;0
R00093;U008;W0408;2024-01-16;True;13.47;2;1
R00094;U076;W0140;2024-01-15;True;3.72;2;3
R00095;U072;W0602;2024-04-02;True;9.87;1;0
R00096;U096;W1106;2024-03-23;False;4.31;1;0
R00097;U008;W0408;2024-01-23;True;13.07;3;7
R00098;U001;W1659;2024-03-22;True;6.67;1;0
R00099;U056;W0105;2024-01-11;True;5.52;1;0
R00100;U057;W0274;2024-01-29;True;6.26;1;0
R00101;U092;W1967;2024-01-24;False;15.81;1;0
R00102;U043;W0757;2024-03-17;True;3.87;1;0
R00103;U026;W0309;2024-02-10;False;10.27;2;3
R00104;U092;W1967;2024-01-27;False;19.96;2;3
R00105;U015;W0500;2024-02-14;True;5.81;2;3
R00106;U066;W1321;2024-04-21;True;5.1;1;0
R00107;U014;W1215;2024-04-11;False;10.1;1;0
R00108;U012;W1071;2024-02-02;True;4.71;1;0
R00109;U025;W1413;2024-04-11;True;5.12;1;0
R00110;U052;W1204;2024-04-19;False;10.46;2;3
R00111;U061;W0938;2024-02-03;False;13.79;1;0
R00112;U048;W0547;2024-04-06;True;5.3;1;0
R00113;U053;W1685;2024-03-23;False;9.91;2;2
R00114;U044;W0588;2024-03-15;True;2.91;2;3
R00115;U098;W0186;2024-04-12;False;13.73;1;0
R00116;U005;W1215;2024-01-01;False;11.29;1;0
R00117;U070;W0620;2024-04-20;True;8.02;2;1
R00118;U045;W0370;2024-02-21;False;17.92;1;0
R00119;U063;W1316;2024-04-14;True;10.99;1;0
R00120;U055;W0490;2024-04-29;False;7.91;1;0
R00121;U031;W1286;2024-01-05;True;5.53;1;0
R00122;U030;W1903;2024-01-28;True;5.47;2;2
R00123;U054;W1066;2024-03-15;True;6.65;1;0
R00124;U018;W1843;2024-01-25;False;14.25;1;0
R00125;U099;W1888;2024-02-13;False;15.3;1;0
R00126;U041;W1031;2024-02-18;True;7.86;1;0
R00127;U046;W1643;2024-02-28;False;15.49;1;0
R00128;U065;W1836;2024-02-22;True;2.59;2;3
R00129;U095;W1969;2024-02-22;False;9.84;1;0
R00130;U022;W1017;2024-04-15;True;5.17;1;0
R00131;U059;W1483;2024-03-01;True;7.11;2;3
R00132;U034;W1069;2024-04-04;True;6.22;1;0
R00133;U005;W0922;2024-04-17;True;4.01;1;0
